species,length,weight,w_l_ratio
Otolithoides biauritus,20.33,3.21,0.16
Otolithoides biauritus,16.34,3.27,0.2
Otolithoides biauritus,18.37,3.27,0.18
Otolithoides biauritus,16.21,3.1,0.19
Otolithoides biauritus,16.44,3.18,0.19
Otolithoides biauritus,17.57,3.19,0.18
Otolithoides biauritus,16.82,3.0,0.18
Otolithoides biauritus,17.23,3.16,0.18
Otolithoides biauritus,13.61,3.04,0.22
Otolithoides biauritus,13.19,3.0,0.23
Otolithoides biauritus,15.24,3.16,0.21
Otolithoides biauritus,13.82,3.0,0.22
Otolithoides biauritus,15.89,3.11,0.2
Otolithoides biauritus,15.6,3.04,0.19
Otolithoides biauritus,14.6,2.99,0.2
Otolithoides biauritus,16.49,3.13,0.19
Otolithoides biauritus,15.88,3.09,0.19
Otolithoides biauritus,16.83,3.08,0.18
Otolithoides biauritus,14.11,3.06,0.22
Otolithoides biauritus,14.4,3.05,0.21
Otolithoides biauritus,16.77,3.15,0.19
Otolithoides biauritus,12.16,2.91,0.24
Otolithoides biauritus,12.66,3.03,0.24
Otolithoides biauritus,21.34,3.21,0.15
Otolithoides biauritus,16.57,3.07,0.19
Otolithoides biauritus,15.61,3.12,0.2
Otolithoides biauritus,19.3,3.2,0.17
Otolithoides biauritus,12.85,2.95,0.23
Otolithoides biauritus,16.47,3.11,0.19
Otolithoides biauritus,17.42,3.1,0.18
Otolithoides biauritus,16.66,3.12,0.19
Otolithoides biauritus,15.54,3.12,0.2
Otolithoides biauritus,15.9,3.11,0.2
Otolithoides biauritus,18.94,3.28,0.17
Otolithoides biauritus,20.45,3.29,0.16
Otolithoides biauritus,16.14,3.19,0.2
Otolithoides biauritus,16.58,3.23,0.2
Otolithoides biauritus,14.94,3.13,0.21
Otolithoides biauritus,14.87,3.08,0.21
Otolithoides biauritus,18.89,3.27,0.17
Otolithoides biauritus,16.4,3.19,0.19
Otolithoides biauritus,20.67,3.2,0.15
Otolithoides biauritus,15.44,3.09,0.2
Otolithoides biauritus,18.98,3.16,0.17
Otolithoides biauritus,16.95,3.12,0.18
Otolithoides biauritus,14.43,3.07,0.21
Otolithoides biauritus,16.48,3.16,0.19
Otolithoides biauritus,16.01,3.13,0.2
Otolithoides biauritus,19.2,3.25,0.17
Otolithoides biauritus,12.96,3.04,0.23
Otolithoides biauritus,15.29,3.08,0.2
Otolithoides biauritus,13.47,3.09,0.23
Otolithoides biauritus,14.67,3.0,0.2
Otolithoides biauritus,17.08,3.14,0.18
Otolithoides biauritus,21.82,3.31,0.15
Otolithoides biauritus,16.25,3.07,0.19
Otolithoides biauritus,12.06,2.93,0.24
Otolithoides biauritus,16.39,3.13,0.19
Otolithoides biauritus,17.2,3.16,0.18
Otolithoides biauritus,15.84,3.16,0.2
Otolithoides biauritus,18.59,3.22,0.17
Otolithoides biauritus,17.05,3.16,0.19
Otolithoides biauritus,15.66,3.08,0.2
Otolithoides biauritus,12.71,3.0,0.24
Otolithoides biauritus,13.19,2.99,0.23
Otolithoides biauritus,15.77,3.11,0.2
Otolithoides biauritus,11.58,3.02,0.26
Otolithoides biauritus,17.72,3.24,0.18
Otolithoides biauritus,16.07,3.12,0.19
Otolithoides biauritus,11.8,3.02,0.26
Otolithoides biauritus,15.47,3.13,0.2
Otolithoides biauritus,13.79,3.03,0.22
Otolithoides biauritus,16.85,3.13,0.19
Otolithoides biauritus,17.25,3.02,0.18
Otolithoides biauritus,16.28,3.13,0.19
Otolithoides biauritus,14.02,2.99,0.21
Otolithoides biauritus,13.05,3.02,0.23
Otolithoides biauritus,11.83,2.97,0.25
Otolithoides biauritus,13.19,2.95,0.22
Otolithoides biauritus,16.53,3.12,0.19
Otolithoides biauritus,17.68,3.16,0.18
Otolithoides biauritus,15.02,3.11,0.21
Otolithoides biauritus,17.83,3.12,0.17
Otolithoides biauritus,16.27,3.14,0.19
Otolithoides biauritus,17.17,3.18,0.19
Otolithoides pama,21.05,3.49,0.17
Otolithoides pama,21.23,3.65,0.17
Otolithoides pama,24.21,3.85,0.16
Otolithoides pama,22.08,3.63,0.16
Otolithoides pama,19.23,3.38,0.18
Otolithoides pama,20.41,3.52,0.17
Otolithoides pama,21.28,3.39,0.16
Otolithoides pama,19.61,3.65,0.19
Otolithoides pama,19.91,3.68,0.18
Otolithoides pama,18.83,3.52,0.19
Otolithoides pama,18.52,3.55,0.19
Otolithoides pama,20.48,3.64,0.18
Otolithoides pama,23.19,3.62,0.16
Otolithoides pama,20.67,3.66,0.18
Otolithoides pama,21.24,3.51,0.17
Otolithoides pama,20.47,3.67,0.18
Otolithoides pama,20.72,3.45,0.17
Otolithoides pama,22.78,3.67,0.16
Otolithoides pama,23.37,3.34,0.14
Otolithoides pama,19.26,3.62,0.19
Otolithoides pama,20.5,3.6,0.18
Otolithoides pama,21.99,3.6,0.16
Otolithoides pama,22.22,3.63,0.16
Otolithoides pama,19.47,3.59,0.18
Otolithoides pama,20.66,3.57,0.17
Otolithoides pama,22.6,3.64,0.16
Otolithoides pama,23.75,3.65,0.15
Otolithoides pama,19.84,3.5,0.18
Otolithoides pama,22.72,3.76,0.17
Otolithoides pama,22.9,3.53,0.15
Otolithoides pama,20.97,3.57,0.17
Otolithoides pama,20.61,3.68,0.18
Otolithoides pama,21.51,3.71,0.17
Otolithoides pama,21.33,3.63,0.17
Otolithoides pama,23.15,3.47,0.15
Otolithoides pama,22.15,3.66,0.17
Otolithoides pama,20.39,3.58,0.18
Otolithoides pama,22.41,3.6,0.16
Otolithoides pama,21.38,3.53,0.17
Otolithoides pama,23.9,3.45,0.14
Otolithoides pama,23.84,3.76,0.16
Otolithoides pama,20.41,3.58,0.18
Otolithoides pama,21.35,3.77,0.18
Otolithoides pama,23.63,3.65,0.15
Otolithoides pama,21.92,3.58,0.16
Otolithoides pama,23.46,3.76,0.16
Otolithoides pama,21.86,3.58,0.16
Otolithoides pama,22.37,3.48,0.16
Otolithoides pama,22.7,3.82,0.17
Otolithoides pama,21.97,3.6,0.16
Otolithoides pama,20.91,3.7,0.18
Otolithoides pama,21.46,3.82,0.18
Otolithoides pama,21.9,3.56,0.16
Otolithoides pama,21.32,3.66,0.17
Otolithoides pama,22.82,3.66,0.16
Otolithoides pama,21.61,3.56,0.16
Otolithoides pama,21.55,3.67,0.17
Otolithoides pama,21.85,3.65,0.17
Otolithoides pama,22.04,3.85,0.17
Otolithoides pama,21.78,3.72,0.17
Otolithoides pama,20.75,3.79,0.18
Otolithoides pama,22.52,3.38,0.15
Otolithoides pama,23.1,3.53,0.15
Otolithoides pama,23.7,3.71,0.16
Otolithoides pama,22.36,3.4,0.15
Otolithoides pama,22.03,3.37,0.15
Otolithoides pama,22.4,3.59,0.16
Otolithoides pama,23.16,3.53,0.15
Otolithoides pama,22.92,3.66,0.16
Otolithoides pama,20.64,3.54,0.17
Otolithoides pama,19.28,3.48,0.18
Otolithoides pama,23.43,3.89,0.17
Otolithoides pama,21.35,3.79,0.18
Otolithoides pama,20.34,3.65,0.18
Otolithoides pama,18.82,3.59,0.19
Otolithoides pama,21.37,3.67,0.17
Otolithoides pama,21.27,3.46,0.16
Otolithoides pama,22.63,3.78,0.17
Otolithoides pama,23.44,3.7,0.16
Otolithoides pama,21.84,3.64,0.17
Otolithoides pama,22.7,3.81,0.17
Otolithoides pama,23.11,3.62,0.16
Otolithoides pama,22.1,3.42,0.15
Otolithoides pama,20.56,3.5,0.17
Otolithoides pama,22.94,3.52,0.15
Otolithoides pama,21.01,3.68,0.18
Otolithoides pama,21.44,3.54,0.16
Otolithoides pama,21.35,3.64,0.17
Otolithoides pama,23.19,3.71,0.16
Otolithoides pama,19.97,3.59,0.18
Otolithoides pama,19.83,3.63,0.18
Otolithoides pama,19.85,3.63,0.18
Otolithoides pama,23.05,3.59,0.16
Otolithoides pama,24.16,3.74,0.15
Otolithoides pama,23.46,3.55,0.15
Otolithoides pama,21.76,3.6,0.17
Otolithoides pama,21.04,3.54,0.17
Otolithoides pama,21.99,3.45,0.16
Otolithoides pama,22.18,3.48,0.16
Otolithoides pama,22.3,3.47,0.16
Otolithoides pama,20.4,3.61,0.18
Otolithoides pama,19.83,3.7,0.19
Otolithoides pama,21.33,3.5,0.16
Otolithoides pama,20.97,3.71,0.18
Otolithoides pama,20.41,3.73,0.18
Otolithoides pama,22.64,3.75,0.17
Otolithoides pama,21.22,3.73,0.18
Otolithoides pama,22.04,3.55,0.16
Otolithoides pama,20.15,3.65,0.18
Otolithoides pama,22.42,3.91,0.17
Otolithoides pama,22.28,3.62,0.16
Otolithoides pama,22.53,3.66,0.16
Otolithoides pama,22.25,3.55,0.16
Otolithoides pama,21.1,3.81,0.18
Otolithoides pama,23.06,3.75,0.16
Otolithoides pama,22.38,3.59,0.16
Otolithoides pama,22.2,3.66,0.16
Otolithoides pama,20.65,3.57,0.17
Otolithoides pama,20.04,3.73,0.19
Otolithoides pama,20.94,3.74,0.18
Otolithoides pama,23.17,3.52,0.15
Otolithoides pama,22.25,3.57,0.16
Otolithoides pama,23.75,3.55,0.15
Otolithoides pama,22.32,3.83,0.17
Otolithoides pama,21.9,3.74,0.17
Otolithoides pama,21.62,3.56,0.16
Otolithoides pama,23.14,3.77,0.16
Otolithoides pama,24.2,3.56,0.15
Otolithoides pama,23.38,3.67,0.16
Otolithoides pama,21.83,3.52,0.16
Otolithoides pama,21.36,3.66,0.17
Otolithoides pama,22.99,3.65,0.16
Otolithoides pama,22.03,3.61,0.16
Otolithoides pama,23.4,3.54,0.15
Otolithoides pama,20.0,3.47,0.17
Otolithoides pama,22.22,3.56,0.16
Otolithoides pama,23.28,3.62,0.16
Otolithoides pama,24.0,3.83,0.16
Otolithoides pama,22.51,3.62,0.16
Otolithoides pama,22.48,3.87,0.17
Otolithoides pama,20.36,3.43,0.17
Otolithoides pama,22.18,3.37,0.15
Otolithoides pama,19.46,3.59,0.18
Otolithoides pama,23.59,3.56,0.15
Otolithoides pama,22.7,3.74,0.16
Otolithoides pama,22.21,3.69,0.17
Otolithoides pama,23.64,3.6,0.15
Otolithoides pama,23.25,3.84,0.17
Otolithoides pama,22.43,3.65,0.16
Otolithoides pama,22.48,3.67,0.16
Otolithoides pama,23.69,3.6,0.15
Otolithoides pama,21.91,3.68,0.17
Otolithoides pama,21.82,3.56,0.16
Otolithoides pama,20.73,3.62,0.17
Otolithoides pama,22.28,3.78,0.17
Otolithoides pama,21.35,3.66,0.17
Otolithoides pama,18.72,3.66,0.2
Otolithoides pama,21.09,3.72,0.18
Otolithoides pama,22.36,3.58,0.16
Otolithoides pama,21.09,3.56,0.17
Otolithoides pama,23.12,3.79,0.16
Otolithoides pama,22.41,3.65,0.16
Otolithoides pama,21.77,3.74,0.17
Otolithoides pama,22.82,3.39,0.15
Otolithoides pama,22.05,3.41,0.15
Otolithoides pama,20.16,3.63,0.18
Otolithoides pama,22.8,3.49,0.15
Otolithoides pama,20.56,3.66,0.18
Otolithoides pama,23.14,3.55,0.15
Otolithoides pama,23.41,3.6,0.15
Otolithoides pama,19.55,3.78,0.19
Otolithoides pama,22.76,3.64,0.16
Otolithoides pama,21.39,3.67,0.17
Otolithoides pama,21.36,3.46,0.16
Otolithoides pama,23.74,3.3,0.14
Otolithoides pama,23.2,3.7,0.16
Otolithoides pama,20.69,3.63,0.18
Otolithoides pama,20.97,3.54,0.17
Otolithoides pama,22.41,3.76,0.17
Otolithoides pama,21.36,3.8,0.18
Otolithoides pama,20.16,3.68,0.18
Otolithoides pama,24.17,3.54,0.15
Otolithoides pama,21.83,3.71,0.17
Otolithoides pama,19.05,3.72,0.2
Otolithoides pama,21.49,3.7,0.17
Otolithoides pama,23.61,3.63,0.15
Otolithoides pama,23.05,3.82,0.17
Otolithoides pama,22.18,3.5,0.16
Otolithoides pama,23.25,3.52,0.15
Otolithoides pama,22.05,3.82,0.17
Otolithoides pama,21.19,3.53,0.17
Otolithoides pama,21.94,3.62,0.16
Otolithoides pama,21.36,3.6,0.17
Otolithoides pama,22.06,3.78,0.17
Otolithoides pama,23.94,3.75,0.16
Otolithoides pama,20.03,3.65,0.18
Otolithoides pama,20.7,3.61,0.17
Otolithoides pama,20.49,3.65,0.18
Otolithoides pama,24.2,3.66,0.15
Otolithoides pama,21.27,3.71,0.17
Otolithoides pama,22.51,3.64,0.16
Otolithoides pama,20.09,3.56,0.18
Otolithoides pama,20.83,3.54,0.17
Otolithoides pama,23.31,3.31,0.14
Otolithoides pama,20.68,3.66,0.18
Otolithoides pama,24.1,3.4,0.14
Otolithoides pama,19.82,3.64,0.18
Otolithoides pama,22.97,3.63,0.16
Otolithoides pama,23.96,3.75,0.16
Otolithoides pama,22.94,3.8,0.17
Otolithoides pama,21.83,3.43,0.16
Otolithoides pama,19.7,3.65,0.19
Otolithoides pama,22.14,3.63,0.16
Otolithoides pama,20.98,3.67,0.18
Otolithoides pama,21.97,3.61,0.16
Otolithoides pama,21.27,3.67,0.17
Otolithoides pama,19.93,3.57,0.18
Otolithoides pama,18.83,3.59,0.19
Otolithoides pama,21.45,3.61,0.17
Otolithoides pama,21.57,3.8,0.18
Otolithoides pama,21.33,3.65,0.17
Otolithoides pama,22.03,3.67,0.17
Otolithoides pama,22.01,3.65,0.17
Otolithoides pama,20.8,3.72,0.18
Otolithoides pama,22.47,3.67,0.16
Otolithoides pama,21.7,3.48,0.16
Otolithoides pama,22.98,3.77,0.16
Otolithoides pama,20.67,3.89,0.19
Otolithoides pama,21.19,3.46,0.16
Otolithoides pama,20.61,3.66,0.18
Otolithoides pama,23.85,3.69,0.15
Otolithoides pama,22.49,3.59,0.16
Otolithoides pama,19.25,3.51,0.18
Otolithoides pama,22.91,3.75,0.16
Otolithoides pama,21.86,3.74,0.17
Otolithoides pama,21.33,3.5,0.16
Otolithoides pama,23.59,3.75,0.16
Otolithoides pama,21.44,3.52,0.16
Otolithoides pama,23.13,3.69,0.16
Otolithoides pama,23.31,3.46,0.15
Otolithoides pama,22.53,3.38,0.15
Otolithoides pama,20.5,3.58,0.17
Otolithoides pama,19.95,3.69,0.18
Otolithoides pama,19.33,3.91,0.2
Otolithoides pama,22.92,3.55,0.15
Otolithoides pama,20.11,3.72,0.18
Otolithoides pama,20.01,3.49,0.17
Otolithoides pama,19.41,3.55,0.18
Otolithoides pama,22.58,3.86,0.17
Otolithoides pama,20.75,3.71,0.18
Otolithoides pama,23.11,3.57,0.15
Otolithoides pama,20.66,3.84,0.19
Otolithoides pama,23.25,3.82,0.16
Otolithoides pama,20.11,3.54,0.18
Otolithoides pama,21.36,3.71,0.17
Otolithoides pama,21.91,3.68,0.17
Otolithoides pama,21.52,3.58,0.17
Otolithoides pama,22.55,3.75,0.17
Otolithoides pama,22.26,3.78,0.17
Otolithoides pama,23.09,3.62,0.16
Otolithoides pama,20.4,3.42,0.17
Otolithoides pama,23.8,3.69,0.15
Otolithoides pama,20.11,3.7,0.18
Otolithoides pama,22.47,3.61,0.16
Otolithoides pama,22.46,3.77,0.17
Otolithoides pama,21.26,3.62,0.17
Otolithoides pama,20.92,3.7,0.18
Otolithoides pama,21.37,3.52,0.16
Otolithoides pama,22.05,3.79,0.17
Otolithoides pama,20.96,3.59,0.17
Otolithoides pama,23.31,3.74,0.16
Otolithoides pama,21.53,3.74,0.17
Otolithoides pama,22.65,3.54,0.16
Otolithoides pama,19.1,3.63,0.19
Otolithoides pama,21.12,3.81,0.18
Otolithoides pama,22.72,3.59,0.16
Otolithoides pama,21.6,3.66,0.17
Otolithoides pama,21.06,3.65,0.17
Otolithoides pama,23.41,3.91,0.17
Otolithoides pama,20.17,3.68,0.18
Otolithoides pama,21.6,3.55,0.16
Otolithoides pama,22.22,3.66,0.16
Otolithoides pama,22.92,3.6,0.16
Otolithoides pama,19.16,3.66,0.19
Otolithoides pama,24.05,3.62,0.15
Otolithoides pama,22.99,3.8,0.17
Otolithoides pama,23.41,3.52,0.15
Otolithoides pama,23.64,3.6,0.15
Otolithoides pama,22.03,3.48,0.16
Otolithoides pama,22.31,3.78,0.17
Otolithoides pama,21.16,3.6,0.17
Otolithoides pama,23.38,3.54,0.15
Otolithoides pama,22.98,3.85,0.17
Otolithoides pama,22.89,3.73,0.16
Otolithoides pama,22.91,3.52,0.15
Otolithoides pama,23.21,3.7,0.16
Otolithoides pama,19.46,3.49,0.18
Otolithoides pama,21.26,3.68,0.17
Otolithoides pama,22.47,3.64,0.16
Otolithoides pama,22.33,3.5,0.16
Otolithoides pama,23.25,3.6,0.16
Otolithoides pama,22.95,3.56,0.16
Otolithoides pama,23.45,3.63,0.15
Otolithoides pama,20.77,3.64,0.18
Otolithoides pama,22.94,3.74,0.16
Otolithoides pama,19.28,3.41,0.18
Otolithoides pama,20.81,3.68,0.18
Otolithoides pama,21.15,3.61,0.17
Otolithoides pama,22.84,3.76,0.16
Otolithoides pama,21.6,3.6,0.17
Otolithoides pama,21.53,3.84,0.18
Otolithoides pama,22.01,3.47,0.16
Otolithoides pama,21.65,3.59,0.17
Otolithoides pama,21.06,3.63,0.17
Otolithoides pama,19.94,3.55,0.18
Otolithoides pama,22.96,3.64,0.16
Otolithoides pama,21.13,3.64,0.17
Otolithoides pama,22.9,3.34,0.15
Otolithoides pama,22.72,3.71,0.16
Otolithoides pama,20.87,3.65,0.17
Otolithoides pama,23.53,3.8,0.16
Otolithoides pama,18.78,3.54,0.19
Otolithoides pama,23.73,3.68,0.16
Otolithoides pama,20.41,3.67,0.18
Otolithoides pama,22.97,3.92,0.17
Otolithoides pama,22.42,3.59,0.16
Otolithoides pama,19.66,3.52,0.18
Otolithoides pama,21.52,3.48,0.16
Otolithoides pama,22.23,3.7,0.17
Otolithoides pama,20.31,3.48,0.17
Otolithoides pama,21.83,3.55,0.16
Otolithoides pama,22.84,3.45,0.15
Otolithoides pama,21.78,3.51,0.16
Otolithoides pama,20.74,3.43,0.17
Otolithoides pama,21.66,3.65,0.17
Otolithoides pama,20.72,3.74,0.18
Otolithoides pama,21.73,3.77,0.17
Otolithoides pama,20.69,3.7,0.18
Otolithoides pama,19.78,3.64,0.18
Otolithoides pama,21.31,3.51,0.16
Otolithoides pama,21.57,3.58,0.17
Otolithoides pama,21.55,3.65,0.17
Otolithoides pama,22.23,3.7,0.17
Otolithoides pama,21.89,3.59,0.16
Otolithoides pama,22.44,3.69,0.16
Otolithoides pama,21.71,3.48,0.16
Otolithoides pama,22.37,3.58,0.16
Otolithoides pama,21.5,3.54,0.16
Otolithoides pama,21.68,3.61,0.17
Otolithoides pama,23.11,3.63,0.16
Otolithoides pama,21.69,3.59,0.17
Otolithoides pama,22.2,3.73,0.17
Otolithoides pama,19.96,3.59,0.18
Otolithoides pama,22.87,3.6,0.16
Otolithoides pama,22.6,3.7,0.16
Otolithoides pama,21.69,3.67,0.17
Otolithoides pama,22.88,3.72,0.16
Otolithoides pama,22.13,3.78,0.17
Otolithoides pama,22.45,3.7,0.16
Otolithoides pama,23.47,3.65,0.16
Otolithoides pama,22.6,3.56,0.16
Otolithoides pama,22.32,3.49,0.16
Otolithoides pama,22.17,3.58,0.16
Otolithoides pama,23.4,4.03,0.17
Otolithoides pama,23.11,3.7,0.16
Otolithoides pama,21.87,3.74,0.17
Otolithoides pama,20.45,3.68,0.18
Otolithoides pama,19.4,3.8,0.2
Otolithoides pama,22.44,3.53,0.16
Otolithoides pama,23.19,3.45,0.15
Otolithoides pama,20.55,3.71,0.18
Otolithoides pama,19.22,3.59,0.19
Otolithoides pama,23.02,3.53,0.15
Otolithoides pama,21.86,3.63,0.17
Otolithoides pama,22.23,3.53,0.16
Otolithoides pama,23.78,3.62,0.15
Otolithoides pama,21.87,3.79,0.17
Otolithoides pama,21.59,3.61,0.17
Otolithoides pama,23.77,3.41,0.14
Otolithoides pama,23.05,3.74,0.16
Otolithoides pama,21.63,3.61,0.17
Otolithoides pama,20.63,3.65,0.18
Otolithoides pama,22.58,3.43,0.15
Otolithoides pama,21.87,3.35,0.15
Otolithoides pama,23.21,3.42,0.15
Otolithoides pama,22.85,3.63,0.16
Otolithoides pama,22.62,3.61,0.16
Otolithoides pama,23.93,3.77,0.16
Otolithoides pama,21.98,3.74,0.17
Otolithoides pama,23.78,3.8,0.16
Otolithoides pama,20.98,3.64,0.17
Otolithoides pama,21.67,3.65,0.17
Otolithoides pama,21.64,3.49,0.16
Otolithoides pama,20.82,3.43,0.16
Otolithoides pama,18.98,3.51,0.18
Otolithoides pama,22.4,3.61,0.16
Otolithoides pama,22.19,3.32,0.15
Otolithoides pama,22.25,3.76,0.17
Otolithoides pama,22.13,3.71,0.17
Otolithoides pama,22.45,3.72,0.17
Otolithoides pama,23.05,3.66,0.16
Otolithoides pama,21.07,3.48,0.17
Otolithoides pama,22.08,3.56,0.16
Otolithoides pama,20.85,3.61,0.17
Otolithoides pama,23.1,3.39,0.15
Otolithoides pama,23.11,3.63,0.16
Otolithoides pama,19.92,3.54,0.18
Otolithoides pama,22.46,3.56,0.16
Otolithoides pama,21.18,3.6,0.17
Otolithoides pama,21.92,3.41,0.16
Otolithoides pama,23.85,3.74,0.16
Otolithoides pama,21.39,3.8,0.18
Otolithoides pama,20.33,3.5,0.17
Otolithoides pama,21.54,3.58,0.17
Otolithoides pama,22.77,3.52,0.15
Otolithoides pama,23.33,3.64,0.16
Otolithoides pama,19.52,3.54,0.18
Otolithoides pama,23.66,3.66,0.15
Otolithoides pama,19.52,3.73,0.19
Otolithoides pama,22.68,3.61,0.16
Otolithoides pama,22.12,3.82,0.17
Otolithoides pama,23.41,3.77,0.16
Otolithoides pama,21.4,3.5,0.16
Otolithoides pama,21.09,3.67,0.17
Otolithoides pama,21.23,3.77,0.18
Otolithoides pama,19.75,3.73,0.19
Otolithoides pama,21.87,3.57,0.16
Otolithoides pama,20.53,3.55,0.17
Otolithoides pama,20.84,3.83,0.18
Otolithoides pama,22.14,3.53,0.16
Otolithoides pama,23.56,3.56,0.15
Otolithoides pama,22.1,3.76,0.17
Otolithoides pama,22.22,3.59,0.16
Otolithoides pama,20.27,3.67,0.18
Otolithoides pama,22.24,3.46,0.16
Pethia conchonius,8.98,4.37,0.49
Pethia conchonius,8.98,4.35,0.48
Pethia conchonius,7.93,4.43,0.56
Pethia conchonius,11.12,4.37,0.39
Pethia conchonius,9.15,4.37,0.48
Pethia conchonius,10.98,4.39,0.4
Pethia conchonius,8.72,4.37,0.5
Pethia conchonius,9.54,4.37,0.46
Pethia conchonius,9.52,4.4,0.46
Pethia conchonius,8.22,4.38,0.53
Pethia conchonius,9.2,4.39,0.48
Pethia conchonius,8.87,4.38,0.49
Pethia conchonius,10.05,4.39,0.44
Pethia conchonius,10.49,4.4,0.42
Pethia conchonius,12.07,4.41,0.37
Pethia conchonius,10.3,4.4,0.43
Pethia conchonius,10.02,4.41,0.44
Pethia conchonius,11.81,4.42,0.37
Pethia conchonius,9.84,4.41,0.45
Pethia conchonius,10.63,4.37,0.41
Pethia conchonius,12.33,4.43,0.36
Pethia conchonius,8.33,4.39,0.53
Pethia conchonius,9.63,4.37,0.45
Pethia conchonius,12.34,4.41,0.36
Pethia conchonius,8.77,4.33,0.49
Pethia conchonius,11.02,4.42,0.4
Pethia conchonius,9.05,4.4,0.49
Pethia conchonius,11.27,4.43,0.39
Pethia conchonius,11.52,4.41,0.38
Pethia conchonius,8.48,4.43,0.52
Pethia conchonius,12.37,4.47,0.36
Pethia conchonius,8.41,4.37,0.52
Pethia conchonius,12.65,4.42,0.35
Pethia conchonius,10.92,4.44,0.41
Pethia conchonius,10.95,4.38,0.4
Pethia conchonius,11.17,4.39,0.39
Pethia conchonius,11.2,4.47,0.4
Pethia conchonius,8.46,4.39,0.52
Pethia conchonius,8.9,4.36,0.49
Pethia conchonius,11.77,4.41,0.38
Pethia conchonius,9.79,4.36,0.45
Pethia conchonius,8.69,4.38,0.5
Pethia conchonius,11.35,4.36,0.38
Pethia conchonius,8.96,4.37,0.49
Pethia conchonius,10.29,4.42,0.43
Pethia conchonius,12.21,4.4,0.36
Pethia conchonius,8.6,4.39,0.51
Pethia conchonius,12.52,4.39,0.35
Pethia conchonius,9.02,4.38,0.49
Pethia conchonius,9.48,4.41,0.47
Pethia conchonius,10.58,4.39,0.42
Pethia conchonius,10.25,4.39,0.43
Pethia conchonius,10.57,4.42,0.42
Pethia conchonius,9.29,4.37,0.47
Pethia conchonius,8.76,4.37,0.5
Pethia conchonius,10.24,4.37,0.43
Pethia conchonius,7.19,4.37,0.61
Pethia conchonius,10.0,4.38,0.44
Pethia conchonius,9.98,4.41,0.44
Pethia conchonius,7.92,4.39,0.55
Pethia conchonius,9.13,4.35,0.48
Pethia conchonius,8.94,4.39,0.49
Pethia conchonius,9.17,4.44,0.48
Pethia conchonius,8.17,4.36,0.53
Pethia conchonius,8.38,4.41,0.53
Pethia conchonius,8.8,4.37,0.5
Pethia conchonius,10.39,4.37,0.42
Pethia conchonius,11.27,4.4,0.39
Pethia conchonius,9.37,4.4,0.47
Pethia conchonius,10.02,4.4,0.44
Pethia conchonius,7.59,4.35,0.57
Pethia conchonius,9.11,4.37,0.48
Pethia conchonius,9.81,4.38,0.45
Pethia conchonius,8.36,4.36,0.52
Pethia conchonius,10.34,4.43,0.43
Pethia conchonius,8.33,4.35,0.52
Pethia conchonius,11.27,4.43,0.39
Pethia conchonius,11.25,4.42,0.39
Pethia conchonius,12.04,4.42,0.37
Pethia conchonius,11.04,4.39,0.4
Pethia conchonius,9.66,4.39,0.45
Pethia conchonius,9.14,4.35,0.48
Pethia conchonius,10.74,4.4,0.41
Pethia conchonius,10.75,4.37,0.41
Pethia conchonius,8.98,4.38,0.49
Pethia conchonius,8.28,4.4,0.53
Pethia conchonius,8.12,4.36,0.54
Pethia conchonius,11.92,4.41,0.37
Pethia conchonius,8.53,4.33,0.51
Pethia conchonius,8.44,4.35,0.52
Pethia conchonius,9.05,4.35,0.48
Pethia conchonius,7.81,4.38,0.56
Pethia conchonius,10.1,4.36,0.43
Pethia conchonius,7.5,4.4,0.59
Pethia conchonius,10.72,4.36,0.41
Pethia conchonius,11.43,4.41,0.39
Pethia conchonius,9.29,4.37,0.47
Pethia conchonius,10.12,4.4,0.44
Pethia conchonius,8.61,4.37,0.51
Pethia conchonius,9.06,4.41,0.49
Pethia conchonius,10.63,4.41,0.41
Pethia conchonius,12.1,4.36,0.36
Pethia conchonius,9.94,4.38,0.44
Pethia conchonius,8.57,4.39,0.51
Pethia conchonius,7.97,4.35,0.55
Pethia conchonius,9.55,4.36,0.46
Pethia conchonius,9.63,4.42,0.46
Pethia conchonius,7.92,4.42,0.56
Pethia conchonius,9.68,4.4,0.45
Pethia conchonius,7.8,4.4,0.56
Pethia conchonius,9.24,4.4,0.48
Pethia conchonius,8.72,4.42,0.51
Pethia conchonius,11.5,4.39,0.38
Pethia conchonius,9.41,4.43,0.47
Pethia conchonius,8.74,4.33,0.5
Pethia conchonius,10.3,4.38,0.43
Pethia conchonius,7.66,4.37,0.57
Pethia conchonius,9.42,4.38,0.46
Pethia conchonius,9.82,4.39,0.45
Pethia conchonius,12.24,4.37,0.36
Pethia conchonius,10.25,4.4,0.43
Pethia conchonius,8.22,4.37,0.53
Pethia conchonius,9.09,4.37,0.48
Pethia conchonius,10.98,4.41,0.4
Pethia conchonius,10.56,4.35,0.41
Pethia conchonius,10.02,4.38,0.44
Pethia conchonius,9.74,4.45,0.46
Pethia conchonius,11.08,4.39,0.4
Pethia conchonius,11.42,4.44,0.39
Pethia conchonius,10.84,4.41,0.41
Pethia conchonius,10.13,4.36,0.43
Pethia conchonius,9.4,4.4,0.47
Pethia conchonius,8.46,4.33,0.51
Pethia conchonius,8.58,4.4,0.51
Pethia conchonius,8.48,4.38,0.52
Pethia conchonius,9.31,4.38,0.47
Pethia conchonius,9.71,4.42,0.46
